date,store_id,product_id,opening_stock,received_quantity,sold_quantity,returned_quantity,damaged_quantity,adjustment_quantity,closing_stock
2024-06-01,STR-001,PRD-001,150,0,15,0,0,0,135
2024-06-01,STR-001,PRD-002,75,0,10,0,0,0,65
2024-06-01,STR-001,PRD-003,120,0,6,0,0,0,114
2024-06-01,STR-001,PRD-004,50,0,12,0,0,0,38
2024-06-01,STR-001,PRD-005,175,0,5,0,0,0,170
2024-06-01,STR-001,PRD-006,160,0,8,0,0,0,152
2024-06-01,STR-001,PRD-007,60,0,7,0,0,0,53
2024-06-01,STR-001,PRD-008,90,0,7,0,0,0,83
2024-06-01,STR-001,PRD-009,45,0,6,0,0,0,39
2024-06-01,STR-001,PRD-010,50,0,3,0,0,0,47
2024-06-01,STR-001,PRD-011,45,0,6,0,0,0,39
2024-06-01,STR-001,PRD-012,75,0,7,0,0,0,68
2024-06-01,STR-001,PRD-013,125,0,3,0,0,0,122
2024-06-01,STR-001,PRD-014,60,0,8,0,0,0,52
2024-06-01,STR-001,PRD-015,75,0,10,0,0,0,65
2024-06-01,STR-001,PRD-016,200,0,9,0,0,0,191
2024-06-01,STR-001,PRD-017,200,0,4,0,0,0,196
2024-06-01,STR-001,PRD-018,90,0,6,0,0,0,84
2024-06-01,STR-001,PRD-019,90,0,10,0,0,0,80
2024-06-01,STR-001,PRD-020,60,0,5,0,0,0,55
2024-06-01,STR-001,PRD-021,45,0,9,0,0,0,36
2024-06-01,STR-001,PRD-022,120,0,8,0,0,1,113
2024-06-01,STR-001,PRD-023,150,0,7,0,0,0,143
2024-06-01,STR-001,PRD-024,125,0,6,0,0,0,119
2024-06-01,STR-001,PRD-025,75,0,3,0,0,0,72
2024-06-01,STR-001,PRD-026,75,0,8,0,0,0,67
2024-06-01,STR-001,PRD-027,60,0,8,0,0,0,52
2024-06-01,STR-001,PRD-028,225,0,7,0,0,0,218
2024-06-01,STR-001,PRD-029,100,0,7,0,0,0,93
2024-06-01,STR-001,PRD-030,175,0,3,0,0,0,172
2024-06-01,STR-001,PRD-031,150,0,4,0,0,0,146
2024-06-01,STR-001,PRD-032,120,0,7,0,0,0,113
2024-06-01,STR-001,PRD-033,75,0,4,0,0,0,71
2024-06-01,STR-001,PRD-034,80,0,5,0,0,0,75
2024-06-01,STR-001,PRD-035,125,0,6,0,0,0,119
2024-06-01,STR-001,PRD-036,100,0,3,0,0,0,97
2024-06-01,STR-001,PRD-037,90,0,4,0,0,0,86
2024-06-01,STR-001,PRD-038,75,0,3,0,0,0,72
2024-06-01,STR-001,PRD-039,75,0,3,0,0,0,72
2024-06-01,STR-001,PRD-040,160,0,3,0,0,0,157
2024-06-01,STR-001,PRD-041,80,0,4,0,0,0,76
2024-06-01,STR-001,PRD-042,60,0,7,0,0,0,53
2024-06-01,STR-001,PRD-043,60,0,2,0,0,0,58
2024-06-01,STR-001,PRD-044,50,0,3,0,0,0,47
2024-06-01,STR-001,PRD-045,75,0,2,0,0,0,73
2024-06-01,STR-001,PRD-046,70,0,3,0,0,0,67
2024-06-01,STR-001,PRD-047,80,0,4,0,0,0,76
2024-06-01,STR-001,PRD-048,60,0,3,0,0,0,57
2024-06-01,STR-001,PRD-049,24,0,4,0,0,0,20
2024-06-01,STR-001,PRD-050,75,0,3,0,0,0,72
2024-06-01,STR-001,PRD-051,75,0,3,0,0,0,72
2024-06-01,STR-001,PRD-052,80,0,3,0,0,0,77
2024-06-01,STR-001,PRD-053,45,0,4,0,0,0,41
2024-06-01,STR-001,PRD-054,30,0,3,0,0,0,27
2024-06-01,STR-001,PRD-055,40,0,3,0,0,0,37
2024-06-01,STR-001,PRD-056,90,0,4,0,0,0,86
2024-06-01,STR-001,PRD-057,140,0,4,0,0,0,136
2024-06-01,STR-001,PRD-058,80,0,3,0,0,0,77
2024-06-01,STR-001,PRD-059,90,0,1,0,1,0,88
2024-06-01,STR-001,PRD-060,70,0,2,0,0,0,68
2024-06-01,STR-001,PRD-061,100,0,4,0,0,0,96
2024-06-01,STR-001,PRD-062,105,0,5,0,0,0,100
2024-06-01,STR-001,PRD-063,80,0,2,0,0,0,78
2024-06-01,STR-001,PRD-064,100,0,3,0,0,0,97
2024-06-01,STR-001,PRD-065,120,0,1,0,0,0,119
2024-06-01,STR-001,PRD-066,60,0,0,0,0,0,60
2024-06-01,STR-001,PRD-067,40,0,1,0,0,0,39
2024-06-01,STR-001,PRD-068,80,0,1,0,0,0,79
2024-06-01,STR-001,PRD-069,40,0,2,0,0,0,38
2024-06-01,STR-001,PRD-070,50,0,6,0,0,0,44
2024-06-01,STR-001,PRD-071,40,0,4,0,0,0,36
2024-06-01,STR-001,PRD-072,40,0,3,0,0,0,37
2024-06-01,STR-001,PRD-073,30,0,4,1,0,0,27
2024-06-01,STR-001,PRD-074,30,0,2,0,0,0,28
2024-06-01,STR-001,PRD-075,40,0,2,0,0,0,38
2024-06-01,STR-001,PRD-076,30,0,3,0,0,0,27
2024-06-01,STR-001,PRD-077,30,0,3,0,0,0,27
2024-06-01,STR-001,PRD-078,30,0,5,0,0,0,25
2024-06-01,STR-001,PRD-079,40,0,3,0,0,0,37
2024-06-01,STR-001,PRD-080,24,0,4,0,0,0,20
2024-06-01,STR-001,PRD-081,30,0,3,0,0,0,27
2024-06-01,STR-001,PRD-082,30,0,5,0,0,0,25
2024-06-01,STR-001,PRD-083,30,0,1,0,0,0,29
2024-06-01,STR-001,PRD-084,40,0,3,0,0,0,37
2024-06-01,STR-001,PRD-085,50,0,2,0,0,0,48
