po_id,order_date,expected_date,received_date,supplier_id,store_id,product_id,ordered_quantity,received_quantity,status,unit_cost
PO-2024-0001,2024-06-01,2024-06-05,2024-06-05,SUP-001,STR-001,PRD-004,112,112,RECEIVED,70.0
PO-2024-0002,2024-06-02,2024-06-06,2024-06-06,SUP-006,STR-004,PRD-065,82,82,RECEIVED,45.0
PO-2024-0003,2024-06-03,2024-06-07,2024-06-07,SUP-006,STR-004,PRD-066,41,41,RECEIVED,65.0
PO-2024-0004,2024-06-04,2024-06-07,2024-06-07,SUP-002,STR-001,PRD-021,50,50,RECEIVED,210.0
PO-2024-0005,2024-06-04,2024-06-07,2024-06-07,SUP-002,STR-002,PRD-021,50,50,RECEIVED,210.0
PO-2024-0006,2024-06-04,2024-06-12,2024-06-12,SUP-012,STR-003,PRD-082,31,31,RECEIVED,290.0
PO-2024-0007,2024-06-04,2024-06-07,2024-06-07,SUP-002,STR-004,PRD-021,50,50,RECEIVED,210.0
PO-2024-0008,2024-06-04,2024-06-09,2024-06-09,SUP-005,STR-004,PRD-053,30,30,RECEIVED,260.0
PO-2024-0009,2024-06-05,2024-06-10,2024-06-10,SUP-005,STR-001,PRD-009,30,30,RECEIVED,220.0
PO-2024-0010,2024-06-05,2024-06-30,2024-06-30,SUP-011,STR-001,PRD-078,100,100,RECEIVED,110.0
PO-2024-0011,2024-06-05,2024-06-13,2024-06-13,SUP-012,STR-001,PRD-082,31,31,RECEIVED,290.0
PO-2024-0012,2024-06-05,2024-06-13,2024-06-13,SUP-012,STR-002,PRD-073,31,31,RECEIVED,340.0
PO-2024-0013,2024-06-05,2024-06-13,2024-06-13,SUP-012,STR-002,PRD-082,32,32,RECEIVED,290.0
PO-2024-0014,2024-06-05,2024-06-08,2024-06-08,SUP-002,STR-003,PRD-026,50,50,RECEIVED,140.0
PO-2024-0015,2024-06-05,2024-06-08,2024-06-08,SUP-002,STR-004,PRD-026,50,50,RECEIVED,140.0
PO-2024-0016,2024-06-05,2024-06-09,2024-06-09,SUP-006,STR-004,PRD-067,47,47,RECEIVED,120.0
PO-2024-0017,2024-06-06,2024-06-11,2024-06-11,SUP-005,STR-001,PRD-054,31,31,RECEIVED,280.0
PO-2024-0018,2024-06-06,2024-06-14,2024-06-14,SUP-012,STR-001,PRD-073,31,31,RECEIVED,340.0
PO-2024-0019,2024-06-06,2024-07-01,2024-07-01,SUP-011,STR-001,PRD-080,100,100,RECEIVED,520.0
PO-2024-0020,2024-06-06,2024-06-10,2024-06-10,SUP-001,STR-002,PRD-014,40,40,RECEIVED,210.0
PO-2024-0021,2024-06-06,2024-06-11,2024-06-11,SUP-005,STR-002,PRD-054,32,32,RECEIVED,280.0
PO-2024-0022,2024-06-06,2024-07-01,2024-07-01,SUP-011,STR-002,PRD-071,100,100,RECEIVED,280.0
PO-2024-0023,2024-06-06,2024-07-01,2024-07-01,SUP-011,STR-002,PRD-078,100,100,RECEIVED,110.0
PO-2024-0024,2024-06-06,2024-07-01,2024-07-01,SUP-011,STR-002,PRD-080,100,100,RECEIVED,520.0
PO-2024-0025,2024-06-06,2024-06-10,2024-06-10,SUP-001,STR-003,PRD-012,40,40,RECEIVED,120.0
PO-2024-0026,2024-06-06,2024-06-10,2024-06-10,SUP-001,STR-004,PRD-001,67,67,RECEIVED,110.0
PO-2024-0027,2024-06-06,2024-06-10,2024-06-10,SUP-001,STR-004,PRD-010,40,40,RECEIVED,380.0
PO-2024-0028,2024-06-06,2024-06-10,2024-06-10,SUP-001,STR-004,PRD-012,40,40,RECEIVED,120.0
PO-2024-0029,2024-06-06,2024-06-11,2024-06-11,SUP-005,STR-004,PRD-054,30,30,RECEIVED,280.0
PO-2024-0030,2024-06-07,2024-06-12,2024-06-12,SUP-005,STR-001,PRD-011,32,32,RECEIVED,140.0
PO-2024-0031,2024-06-07,2024-06-10,2024-06-16,SUP-002,STR-001,PRD-015,53,53,RECEIVED,90.0
PO-2024-0032,2024-06-07,2024-06-10,2024-06-10,SUP-002,STR-001,PRD-027,50,50,RECEIVED,85.0
PO-2024-0033,2024-06-07,2024-06-12,2024-06-12,SUP-005,STR-001,PRD-049,25,25,RECEIVED,420.0
PO-2024-0034,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-001,PRD-071,100,100,RECEIVED,280.0
PO-2024-0035,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-001,PRD-072,100,100,RECEIVED,650.0
PO-2024-0036,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-001,PRD-077,100,100,RECEIVED,140.0
PO-2024-0037,2024-06-07,2024-06-10,2024-06-10,SUP-002,STR-002,PRD-015,53,53,RECEIVED,90.0
PO-2024-0038,2024-06-07,2024-07-02,2024-07-08,SUP-011,STR-002,PRD-072,100,100,RECEIVED,650.0
PO-2024-0039,2024-06-07,2024-06-11,2024-06-11,SUP-001,STR-003,PRD-002,56,56,RECEIVED,130.0
PO-2024-0040,2024-06-07,2024-06-12,2024-06-12,SUP-005,STR-003,PRD-009,30,30,RECEIVED,220.0
PO-2024-0041,2024-06-07,2024-06-11,2024-06-11,SUP-001,STR-003,PRD-010,40,40,RECEIVED,380.0
PO-2024-0042,2024-06-07,2024-06-12,2024-06-12,SUP-005,STR-003,PRD-011,31,31,RECEIVED,140.0
PO-2024-0043,2024-06-07,2024-06-10,2024-06-10,SUP-002,STR-003,PRD-015,51,51,RECEIVED,90.0
PO-2024-0044,2024-06-07,2024-06-12,2024-06-12,SUP-005,STR-003,PRD-054,31,31,RECEIVED,280.0
PO-2024-0045,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-003,PRD-071,100,100,RECEIVED,280.0
PO-2024-0046,2024-06-07,2024-06-15,2024-06-15,SUP-012,STR-003,PRD-073,33,33,RECEIVED,340.0
PO-2024-0047,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-003,PRD-074,100,100,RECEIVED,160.0
PO-2024-0048,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-003,PRD-077,100,100,RECEIVED,140.0
PO-2024-0049,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-003,PRD-078,100,100,RECEIVED,110.0
PO-2024-0050,2024-06-07,2024-07-02,2024-07-02,SUP-011,STR-003,PRD-080,100,100,RECEIVED,520.0
PO-2024-0051,2024-06-07,2024-06-13,2024-06-13,SUP-003,STR-004,PRD-029,40,40,RECEIVED,420.0
PO-2024-0052,2024-06-07,2024-06-13,2024-06-13,SUP-003,STR-004,PRD-039,31,31,RECEIVED,160.0
PO-2024-0053,2024-06-07,2024-06-11,2024-06-17,SUP-006,STR-004,PRD-064,50,50,RECEIVED,155.0
PO-2024-0054,2024-06-07,2024-06-19,2024-06-23,SUP-009,STR-004,PRD-084,20,20,RECEIVED,750.0
PO-2024-0055,2024-06-08,2024-06-12,2024-06-12,SUP-001,STR-001,PRD-002,57,57,RECEIVED,130.0
PO-2024-0056,2024-06-08,2024-06-13,2024-06-13,SUP-005,STR-002,PRD-011,30,30,RECEIVED,140.0
PO-2024-0057,2024-06-08,2024-06-13,2024-06-13,SUP-005,STR-002,PRD-049,25,25,RECEIVED,420.0
PO-2024-0058,2024-06-08,2024-07-03,2024-07-03,SUP-011,STR-002,PRD-070,100,100,RECEIVED,140.0
PO-2024-0059,2024-06-08,2024-07-03,2024-07-07,SUP-011,STR-002,PRD-077,100,100,RECEIVED,140.0
PO-2024-0060,2024-06-08,2024-06-12,2024-06-12,SUP-001,STR-003,PRD-014,40,40,RECEIVED,210.0
PO-2024-0061,2024-06-08,2024-06-11,2024-06-11,SUP-002,STR-003,PRD-019,60,60,RECEIVED,65.0
PO-2024-0062,2024-06-08,2024-06-11,2024-06-11,SUP-002,STR-003,PRD-021,50,50,RECEIVED,210.0
PO-2024-0063,2024-06-08,2024-06-12,2024-06-12,SUP-006,STR-003,PRD-061,52,52,RECEIVED,115.0
PO-2024-0064,2024-06-08,2024-06-12,2024-06-12,SUP-006,STR-003,PRD-064,50,50,RECEIVED,155.0
PO-2024-0065,2024-06-08,2024-07-03,2024-07-03,SUP-011,STR-003,PRD-072,100,100,RECEIVED,650.0
PO-2024-0066,2024-06-08,2024-06-13,2024-06-13,SUP-010,STR-003,PRD-101,50,50,RECEIVED,450.0
PO-2024-0067,2024-06-08,2024-06-13,2024-06-13,SUP-005,STR-004,PRD-009,32,32,RECEIVED,220.0
PO-2024-0068,2024-06-08,2024-06-13,2024-06-13,SUP-004,STR-004,PRD-042,45,45,RECEIVED,135.0
PO-2024-0069,2024-06-08,2024-06-12,2024-06-12,SUP-006,STR-004,PRD-061,52,52,RECEIVED,115.0
PO-2024-0070,2024-06-08,2024-06-12,2024-06-12,SUP-006,STR-004,PRD-065,84,84,RECEIVED,45.0
PO-2024-0071,2024-06-08,2024-06-12,2024-06-12,SUP-006,STR-004,PRD-066,43,43,RECEIVED,65.0
PO-2024-0072,2024-06-09,2024-06-13,2024-06-13,SUP-001,STR-001,PRD-012,40,40,RECEIVED,120.0
PO-2024-0073,2024-06-09,2024-06-12,2024-06-12,SUP-002,STR-001,PRD-019,67,67,RECEIVED,65.0
PO-2024-0074,2024-06-09,2024-06-12,2024-06-12,SUP-002,STR-001,PRD-026,50,50,RECEIVED,140.0
PO-2024-0075,2024-06-09,2024-06-14,2024-06-14,SUP-004,STR-001,PRD-042,45,45,RECEIVED,135.0
PO-2024-0076,2024-06-09,2024-06-14,2024-06-14,SUP-005,STR-001,PRD-053,31,31,RECEIVED,260.0
PO-2024-0077,2024-06-09,2024-07-04,2024-07-04,SUP-011,STR-001,PRD-070,100,100,RECEIVED,140.0
PO-2024-0078,2024-06-09,2024-07-04,2024-07-04,SUP-011,STR-001,PRD-074,100,100,RECEIVED,160.0
PO-2024-0079,2024-06-09,2024-06-12,2024-06-12,SUP-002,STR-002,PRD-026,50,50,RECEIVED,140.0
PO-2024-0080,2024-06-09,2024-06-15,2024-06-15,SUP-003,STR-002,PRD-034,46,46,RECEIVED,95.0
PO-2024-0081,2024-06-09,2024-06-13,2024-06-13,SUP-001,STR-003,PRD-001,62,62,RECEIVED,110.0
PO-2024-0082,2024-06-09,2024-06-13,2024-06-13,SUP-001,STR-003,PRD-007,40,40,RECEIVED,160.0
PO-2024-0083,2024-06-09,2024-06-12,2024-06-12,SUP-002,STR-003,PRD-020,50,50,RECEIVED,180.0
PO-2024-0084,2024-06-09,2024-06-13,2024-06-13,SUP-008,STR-003,PRD-023,63,63,RECEIVED,50.0
PO-2024-0085,2024-06-09,2024-06-15,2024-06-15,SUP-003,STR-003,PRD-035,59,59,RECEIVED,285.0
PO-2024-0086,2024-06-09,2024-06-15,2024-06-15,SUP-003,STR-003,PRD-039,34,34,RECEIVED,160.0
PO-2024-0087,2024-06-09,2024-06-14,2024-06-14,SUP-004,STR-003,PRD-042,45,45,RECEIVED,135.0
PO-2024-0088,2024-06-09,2024-06-14,2024-06-14,SUP-005,STR-003,PRD-053,30,30,RECEIVED,260.0
PO-2024-0089,2024-06-09,2024-06-13,2024-06-13,SUP-006,STR-003,PRD-069,40,40,RECEIVED,130.0
