transaction_id,date,store_id,product_id,quantity,unit_price,discount_amount
TXN-0000001,2024-06-01,STR-001,PRD-001,4,150.0,0.0
TXN-0000002,2024-06-01,STR-001,PRD-001,3,150.0,0.0
TXN-0000003,2024-06-01,STR-001,PRD-001,1,150.0,0.0
TXN-0000004,2024-06-01,STR-001,PRD-001,3,150.0,0.0
TXN-0000005,2024-06-01,STR-001,PRD-001,3,150.0,45.0
TXN-0000006,2024-06-01,STR-001,PRD-001,1,150.0,0.0
TXN-0000007,2024-06-01,STR-001,PRD-002,1,185.0,0.0
TXN-0000008,2024-06-01,STR-001,PRD-002,2,185.0,0.0
TXN-0000009,2024-06-01,STR-001,PRD-002,4,185.0,74.0
TXN-0000010,2024-06-01,STR-001,PRD-002,3,185.0,0.0
TXN-0000011,2024-06-01,STR-001,PRD-003,3,50.0,0.0
TXN-0000012,2024-06-01,STR-001,PRD-003,3,50.0,0.0
TXN-0000013,2024-06-01,STR-001,PRD-004,4,110.0,0.0
TXN-0000014,2024-06-01,STR-001,PRD-004,3,110.0,0.0
TXN-0000015,2024-06-01,STR-001,PRD-004,2,110.0,0.0
TXN-0000016,2024-06-01,STR-001,PRD-004,2,110.0,0.0
TXN-0000017,2024-06-01,STR-001,PRD-004,1,110.0,0.0
TXN-0000018,2024-06-01,STR-001,PRD-005,3,45.0,0.0
TXN-0000019,2024-06-01,STR-001,PRD-005,2,45.0,0.0
TXN-0000020,2024-06-01,STR-001,PRD-006,2,25.0,0.0
TXN-0000021,2024-06-01,STR-001,PRD-006,3,25.0,0.0
TXN-0000022,2024-06-01,STR-001,PRD-006,3,25.0,0.0
TXN-0000023,2024-06-01,STR-001,PRD-007,2,240.0,48.0
TXN-0000024,2024-06-01,STR-001,PRD-007,2,240.0,0.0
TXN-0000025,2024-06-01,STR-001,PRD-007,3,240.0,0.0
TXN-0000026,2024-06-01,STR-001,PRD-008,2,40.0,0.0
TXN-0000027,2024-06-01,STR-001,PRD-008,4,40.0,0.0
TXN-0000028,2024-06-01,STR-001,PRD-008,1,40.0,0.0
TXN-0000029,2024-06-01,STR-001,PRD-009,2,350.0,0.0
TXN-0000030,2024-06-01,STR-001,PRD-009,4,350.0,140.0
TXN-0000031,2024-06-01,STR-001,PRD-010,2,550.0,0.0
TXN-0000032,2024-06-01,STR-001,PRD-010,1,550.0,0.0
TXN-0000033,2024-06-01,STR-001,PRD-011,4,210.0,0.0
TXN-0000034,2024-06-01,STR-001,PRD-011,2,210.0,0.0
TXN-0000035,2024-06-01,STR-001,PRD-012,4,190.0,0.0
TXN-0000036,2024-06-01,STR-001,PRD-012,2,190.0,0.0
TXN-0000037,2024-06-01,STR-001,PRD-012,1,190.0,0.0
TXN-0000038,2024-06-01,STR-001,PRD-013,1,125.0,0.0
TXN-0000039,2024-06-01,STR-001,PRD-013,1,125.0,0.0
TXN-0000040,2024-06-01,STR-001,PRD-013,1,125.0,0.0
TXN-0000041,2024-06-01,STR-001,PRD-014,1,320.0,0.0
TXN-0000042,2024-06-01,STR-001,PRD-014,4,320.0,0.0
TXN-0000043,2024-06-01,STR-001,PRD-014,2,320.0,0.0
